Trading Date,Interval Number,Trading Interval,Participant Code,Facility Code,Outage Type,Ex-Ante Outage (MW),Ex-Post Outage (MW),Extracted At
14-09-2022,33,15-09-2022 00:00,WPGENER,MUJA_G7,Forced,6.493,,
14-09-2022,33,15-09-2022 00:00,WPGENER,MUJA_G7,Planned,204.507,,
14-09-2022,33,15-09-2022 00:00,WPGENER,MUJA_G8,Planned,211,,
14-09-2022,33,15-09-2022 00:00,WPGENER,PINJAR_GT10,Forced,111,,
14-09-2022,34,15-09-2022 00:30,WPGENER,MUJA_G7,Forced,6.493,,
14-09-2022,34,15-09-2022 00:30,WPGENER,MUJA_G7,Planned,204.507,,
14-09-2022,34,15-09-2022 00:30,WPGENER,MUJA_G8,Planned,211,,
14-09-2022,34,15-09-2022 00:30,WPGENER,PINJAR_GT10,Forced,111,,
14-09-2022,35,15-09-2022 01:00,WPGENER,MUJA_G7,Forced,6.493,,
14-09-2022,35,15-09-2022 01:00,WPGENER,MUJA_G7,Planned,204.507,,
14-09-2022,35,15-09-2022 01:00,WPGENER,MUJA_G8,Planned,211,,
14-09-2022,35,15-09-2022 01:00,WPGENER,PINJAR_GT10,Forced,111,,
14-09-2022,36,15-09-2022 01:30,WPGENER,MUJA_G7,Forced,6.493,,
14-09-2022,36,15-09-2022 01:30,WPGENER,MUJA_G7,Planned,204.507,,
14-09-2022,36,15-09-2022 01:30,WPGENER,MUJA_G8,Planned,211,,
14-09-2022,36,15-09-2022 01:30,WPGENER,PINJAR_GT10,Forced,111,,
14-09-2022,37,15-09-2022 02:00,WPGENER,MUJA_G7,Forced,6.493,,
14-09-2022,37,15-09-2022 02:00,WPGENER,MUJA_G7,Planned,204.507,,
14-09-2022,37,15-09-2022 02:00,WPGENER,MUJA_G8,Planned,211,,
14-09-2022,37,15-09-2022 02:00,WPGENER,PINJAR_GT10,Forced,111,,
14-09-2022,38,15-09-2022 02:30,WPGENER,MUJA_G7,Forced,6.493,,
14-09-2022,38,15-09-2022 02:30,WPGENER,MUJA_G7,Planned,204.507,,
14-09-2022,38,15-09-2022 02:30,WPGENER,MUJA_G8,Planned,211,,
14-09-2022,38,15-09-2022 02:30,WPGENER,PINJAR_GT10,Forced,111,,
14-09-2022,39,15-09-2022 03:00,WPGENER,MUJA_G7,Forced,6.493,,
14-09-2022,39,15-09-2022 03:00,WPGENER,MUJA_G7,Planned,204.507,,
14-09-2022,39,15-09-2022 03:00,WPGENER,MUJA_G8,Planned,211,,
14-09-2022,39,15-09-2022 03:00,WPGENER,PINJAR_GT10,Forced,111,,
14-09-2022,40,15-09-2022 03:30,WPGENER,MUJA_G7,Forced,6.493,,
14-09-2022,40,15-09-2022 03:30,WPGENER,MUJA_G7,Planned,204.507,,
14-09-2022,40,15-09-2022 03:30,WPGENER,MUJA_G8,Planned,211,,
14-09-2022,40,15-09-2022 03:30,WPGENER,PINJAR_GT10,Forced,111,,
14-09-2022,41,15-09-2022 04:00,WPGENER,MUJA_G7,Forced,6.493,,
14-09-2022,41,15-09-2022 04:00,WPGENER,MUJA_G7,Planned,204.507,,
14-09-2022,41,15-09-2022 04:00,WPGENER,MUJA_G8,Planned,211,,
14-09-2022,41,15-09-2022 04:00,WPGENER,PINJAR_GT10,Forced,111,,
14-09-2022,42,15-09-2022 04:30,WPGENER,MUJA_G7,Forced,6.493,,
14-09-2022,42,15-09-2022 04:30,WPGENER,MUJA_G7,Planned,204.507,,
14-09-2022,42,15-09-2022 04:30,WPGENER,MUJA_G8,Planned,211,,
14-09-2022,42,15-09-2022 04:30,WPGENER,PINJAR_GT10,Forced,111,,
14-09-2022,43,15-09-2022 05:00,WPGENER,MUJA_G7,Forced,6.493,,
14-09-2022,43,15-09-2022 05:00,WPGENER,MUJA_G7,Planned,204.507,,
14-09-2022,43,15-09-2022 05:00,WPGENER,MUJA_G8,Planned,211,,
14-09-2022,43,15-09-2022 05:00,WPGENER,PINJAR_GT10,Forced,111,,
14-09-2022,44,15-09-2022 05:30,WPGENER,MUJA_G7,Forced,6.493,,
14-09-2022,44,15-09-2022 05:30,WPGENER,MUJA_G7,Planned,204.507,,
14-09-2022,44,15-09-2022 05:30,WPGENER,MUJA_G8,Planned,211,,
14-09-2022,44,15-09-2022 05:30,WPGENER,PINJAR_GT10,Forced,111,,
14-09-2022,45,15-09-2022 06:00,WPGENER,MUJA_G7,Forced,6.493,,
14-09-2022,45,15-09-2022 06:00,WPGENER,MUJA_G7,Planned,204.507,,
14-09-2022,45,15-09-2022 06:00,WPGENER,MUJA_G8,Planned,211,,
14-09-2022,45,15-09-2022 06:00,WPGENER,PINJAR_GT10,Forced,111,,
14-09-2022,46,15-09-2022 06:30,WPGENER,MUJA_G7,Forced,6.493,,
14-09-2022,46,15-09-2022 06:30,WPGENER,MUJA_G7,Planned,204.507,,
14-09-2022,46,15-09-2022 06:30,WPGENER,MUJA_G8,Planned,211,,
14-09-2022,46,15-09-2022 06:30,WPGENER,PINJAR_GT10,Forced,111,,
14-09-2022,47,15-09-2022 07:00,WPGENER,MUJA_G7,Forced,6.493,,
14-09-2022,47,15-09-2022 07:00,WPGENER,MUJA_G7,Planned,204.507,,
14-09-2022,47,15-09-2022 07:00,WPGENER,MUJA_G8,Planned,211,,
14-09-2022,47,15-09-2022 07:00,WPGENER,PINJAR_GT10,Forced,111,,
14-09-2022,48,15-09-2022 07:30,WPGENER,MUJA_G7,Forced,6.493,,
14-09-2022,48,15-09-2022 07:30,WPGENER,MUJA_G7,Planned,204.507,,
14-09-2022,48,15-09-2022 07:30,WPGENER,MUJA_G8,Planned,211,,
14-09-2022,48,15-09-2022 07:30,WPGENER,PINJAR_GT10,Forced,111,,
15-09-2022,1,15-09-2022 08:00,WPGENER,COLLIE_G1,Forced,317.2,,
15-09-2022,1,15-09-2022 08:00,WPGENER,MUJA_G7,Forced,6.493,,
15-09-2022,1,15-09-2022 08:00,WPGENER,MUJA_G7,Planned,204.507,,
15-09-2022,1,15-09-2022 08:00,WPGENER,MUJA_G8,Planned,211,,
15-09-2022,1,15-09-2022 08:00,WPGENER,PINJAR_GT10,Forced,111,,
15-09-2022,2,15-09-2022 08:30,WPGENER,COLLIE_G1,Forced,317.2,,
15-09-2022,2,15-09-2022 08:30,WPGENER,MUJA_G7,Forced,6.493,,
15-09-2022,2,15-09-2022 08:30,WPGENER,MUJA_G7,Planned,204.507,,
15-09-2022,2,15-09-2022 08:30,WPGENER,MUJA_G8,Planned,211,,
15-09-2022,2,15-09-2022 08:30,WPGENER,PINJAR_GT10,Forced,111,,
15-09-2022,3,15-09-2022 09:00,WPGENER,COLLIE_G1,Forced,317.2,,
15-09-2022,3,15-09-2022 09:00,WPGENER,MUJA_G7,Forced,6.493,,
15-09-2022,3,15-09-2022 09:00,WPGENER,MUJA_G7,Planned,204.507,,
15-09-2022,3,15-09-2022 09:00,WPGENER,MUJA_G8,Planned,211,,
15-09-2022,3,15-09-2022 09:00,WPGENER,PINJAR_GT10,Forced,111,,
15-09-2022,4,15-09-2022 09:30,WPGENER,COLLIE_G1,Forced,317.2,,
15-09-2022,4,15-09-2022 09:30,WPGENER,MUJA_G7,Forced,6.493,,
15-09-2022,4,15-09-2022 09:30,WPGENER,MUJA_G7,Planned,204.507,,
15-09-2022,4,15-09-2022 09:30,WPGENER,MUJA_G8,Planned,211,,
15-09-2022,4,15-09-2022 09:30,WPGENER,PINJAR_GT10,Forced,111,,
15-09-2022,5,15-09-2022 10:00,WPGENER,COLLIE_G1,Forced,317.2,,
15-09-2022,5,15-09-2022 10:00,WPGENER,MUJA_G7,Forced,6.493,,
15-09-2022,5,15-09-2022 10:00,WPGENER,MUJA_G7,Planned,204.507,,
15-09-2022,5,15-09-2022 10:00,WPGENER,MUJA_G8,Planned,211,,
15-09-2022,5,15-09-2022 10:00,WPGENER,PINJAR_GT10,Forced,111,,
