Title,Validity,execdate,strQuarter,NRV,SI,Alpha,MIP,MDP,SR,SI < -I C,POS,NEG
Balancing prices from 03/04/2022 to 03/04/2022,Not Validated,03/04/2022,00:00 -> 00:15,111.512;-192.258,0.94,332.72,146.50;;;333.65,333.65
Balancing prices from 03/04/2022 to 03/04/2022,Not Validated,03/04/2022,00:15 -> 00:30,125.671;-229.470,1.65,332.97,146.50;;;334.62,334.62
Balancing prices from 03/04/2022 to 03/04/2022,Not Validated,03/04/2022,00:30 -> 00:45,151.922;-274.949,2.52,344.55,146.50;;;347.08,347.08
Balancing prices from 03/04/2022 to 03/04/2022,Not Validated,03/04/2022,00:45 -> 01:00,245.346;-292.922,0.00,538.01,146.50;;;538.01,538.01
Balancing prices from 03/04/2022 to 03/04/2022,Not Validated,03/04/2022,01:00 -> 01:15,285.732;-364.307,0.00,550.00,143.20;;;550.00,550.00
Balancing prices from 03/04/2022 to 03/04/2022,Not Validated,03/04/2022,01:15 -> 01:30,348.814;-453.882,0.00,557.56,142.50;;;557.56,557.56
Balancing prices from 03/04/2022 to 03/04/2022,Not Validated,03/04/2022,01:30 -> 01:45,252.853;-249.730,0.00,654.36,127.57;;;654.36,654.36
Balancing prices from 03/04/2022 to 03/04/2022,Not Validated,03/04/2022,01:45 -> 02:00,181.454;-193.583,0.00,431.70,142.50;;;431.70,431.70
Balancing prices from 03/04/2022 to 03/04/2022,Not Validated,03/04/2022,02:00 -> 02:15,155.442;-175.101,0.00,431.70,154.50;;;431.70,431.70
Balancing prices from 03/04/2022 to 03/04/2022,Not Validated,03/04/2022,02:15 -> 02:30,136.322;-148.152,0.00,421.80,154.50;;;421.80,421.80
Balancing prices from 03/04/2022 to 03/04/2022,Not Validated,03/04/2022,02:30 -> 02:45,59.858;-130.532,0.00,298.66,154.50;;;298.66,298.66
Balancing prices from 03/04/2022 to 03/04/2022,Not Validated,03/04/2022,02:45 -> 03:00,140.387;-191.695,0.84,327.86,154.50;;;328.70,328.70
Balancing prices from 03/04/2022 to 03/04/2022,Not Validated,03/04/2022,03:00 -> 03:15,57.015;-87.226,0.00,290.33,146.50;;;290.33,290.33
Balancing prices from 03/04/2022 to 03/04/2022,Not Validated,03/04/2022,03:15 -> 03:30,79.925;-126.859,0.00,295.82,146.50;;;295.82,295.82
Balancing prices from 03/04/2022 to 03/04/2022,Not Validated,03/04/2022,03:30 -> 03:45,87.164;-122.169,0.00,298.70,158.50;;;298.70,298.70
Balancing prices from 03/04/2022 to 03/04/2022,Not Validated,03/04/2022,03:45 -> 04:00,109.843;-165.234,0.73,318.03,158.50;;;318.76,318.76
Balancing prices from 03/04/2022 to 03/04/2022,Not Validated,03/04/2022,04:00 -> 04:15,133.482;-171.537,1.09,315.60,158.50;;;316.69,316.69
Balancing prices from 03/04/2022 to 03/04/2022,Not Validated,03/04/2022,04:15 -> 04:30,130.399;-292.824,2.95,312.96,158.50;;;315.90,315.90
Balancing prices from 03/04/2022 to 03/04/2022,Not Validated,03/04/2022,04:30 -> 04:45,262.706;-297.029,0.00,537.11,160.50;;;537.11,537.11
Balancing prices from 03/04/2022 to 03/04/2022,Not Validated,03/04/2022,04:45 -> 05:00,112.838;-24.017,0.00,550.00,81.97;;;550.00,550.00
Balancing prices from 03/04/2022 to 03/04/2022,Not Validated,03/04/2022,05:00 -> 05:15;-116.229,117.813,0.00,406.47;-2.95;;;-2.95;-2.95
Balancing prices from 03/04/2022 to 03/04/2022,Not Validated,03/04/2022,05:15 -> 05:30,92.548;-163.879,0.67,320.93,158.87;;;321.60,321.60
Balancing prices from 03/04/2022 to 03/04/2022,Not Validated,03/04/2022,05:30 -> 05:45,104.629;-224.159,1.63,314.83,160.50;;;316.46,316.46
Balancing prices from 03/04/2022 to 03/04/2022,Not Validated,03/04/2022,05:45 -> 06:00,151.741;-191.754,1.88,320.07,160.50;;;321.95,321.95
Balancing prices from 03/04/2022 to 03/04/2022,Not Validated,03/04/2022,06:00 -> 06:15;-2.202,84.338,0.00,312.09;-12.43;;;-12.43;-12.43
