Delivery day;Period;Price SK (EUR/MWh);Demand successful (MWh);Supply successful (MWh);Flow CZ ➝ SK (MWh);Flow SK ➝ CZ (MWh);Flow PL ➝ SK (MWh);Flow SK ➝ PL (MWh);Flow HU ➝ SK (MWh);Flow SK ➝ HU (MWh);Publication status
5.3.2024;1;61.96;552.1;1,471.3;241.7;0.0;60.6;0.0;0.0;1,221.5;Final
5.3.2024;2;61.67;524.7;1,246.1;140.2;0.0;256.8;0.0;0.0;1,118.4;Final
5.3.2024;3;61.33;608.5;1,217.8;186.1;0.0;277.1;0.0;0.0;1,072.5;Final
5.3.2024;4;59.86;618.5;1,232.4;195.5;0.0;361.3;0.0;0.0;1,170.7;Final
5.3.2024;5;60.56;630.9;1,304.2;362.0;0.0;382.9;0.0;0.0;1,418.2;Final
5.3.2024;6;61.67;602.2;1,667.3;436.2;0.0;155.6;0.0;0.0;1,656.9;Final
5.3.2024;7;71.53;765.9;1,597.4;327.9;0.0;0.0;152.4;0.0;1,007.0;Final
5.3.2024;8;79.28;834.0;1,710.5;187.7;0.0;0.0;391.0;0.0;673.2;Final
5.3.2024;9;83.02;790.9;1,725.5;0.0;71.7;0.0;790.7;0.0;72.2;Final
5.3.2024;10;77.00;765.8;1,727.3;0.0;166.8;0.0;1,002.5;207.8;0.0;Final
5.3.2024;11;71.15;714.0;1,727.0;0.0;201.3;0.0;977.8;166.1;0.0;Final
5.3.2024;12;69.72;738.0;1,726.3;0.0;129.2;0.0;904.8;45.7;0.0;Final
5.3.2024;13;68.25;728.3;1,686.3;3.4;0.0;0.0;779.2;0.0;182.2;Final
5.3.2024;14;68.97;708.0;1,670.4;48.9;0.0;0.0;688.7;0.0;322.6;Final
5.3.2024;15;72.31;715.5;1,668.7;158.7;0.0;0.0;524.4;0.0;587.5;Final
5.3.2024;16;76.16;713.3;1,608.9;245.5;0.0;0.0;468.8;0.0;672.3;Final
5.3.2024;17;77.71;851.0;1,636.7;340.6;0.0;0.0;518.6;0.0;607.7;Final
5.3.2024;18;94.42;1,004.2;1,747.7;527.0;0.0;0.0;294.3;0.0;976.2;Final
5.3.2024;19;107.73;1,086.0;2,267.6;574.2;0.0;0.0;172.8;0.0;1,583.0;Final
5.3.2024;20;114.95;1,056.8;2,287.3;435.8;0.0;0.0;158.1;0.0;1,508.2;Final
5.3.2024;21;94.90;981.2;1,971.4;481.2;0.0;0.0;441.7;0.0;1,029.7;Final
5.3.2024;22;83.97;804.8;1,789.2;401.6;0.0;0.0;457.4;0.0;928.6;Final
5.3.2024;23;77.54;643.7;1,791.0;382.8;0.0;0.0;355.8;0.0;1,174.3;Final
5.3.2024;24;71.99;539.7;1,773.3;512.2;0.0;104.8;0.0;0.0;1,850.6;Final
