Trading Date,Interval Number,Trading Interval,Participant Code,Facility Code,Energy Generated (MWh),EOI Quantity (MW),Extracted At
"2022-09-01",1,2022-09-01 08:00:00,"ALBGRAS","ALBANY_WF1",0.121,0.05,"2022-09-22 23:30:03"
"2022-09-01",1,2022-09-01 08:00:00,"ALCOA","ALCOA_WGP",0,0,
"2022-09-01",1,2022-09-01 08:00:00,"ALINTA","ALINTA_PNJ_U1",15.411,20.653,
"2022-09-01",1,2022-09-01 08:00:00,"ALINTA","ALINTA_PNJ_U2",13.915,14.4,
"2022-09-01",1,2022-09-01 08:00:00,"ALINTA","ALINTA_WGP_GT",0,0,
"2022-09-01",1,2022-09-01 08:00:00,"ALINTA","ALINTA_WGP_U2",0,0,
"2022-09-01",1,2022-09-01 08:00:00,"ALINTA","ALINTA_WWF",18.617,39.5,
"2022-09-01",1,2022-09-01 08:00:00,"MPOWER","AMBRISOLAR_PV1",0.235,0.555,
"2022-09-01",1,2022-09-01 08:00:00,"PERTHNRGY","ATLAS",0,0,
"2022-09-01",1,2022-09-01 08:00:00,"ALINTA","BADGINGARRA_WF1",65.013,129.98,
"2022-09-01",1,2022-09-01 08:00:00,"CTE","BIOGAS01",0.199,0.501,
"2022-09-01",1,2022-09-01 08:00:00,"BLAIRFOX","BLAIRFOX_BEROSRD_WF1",0.385,0.31,
"2022-09-01",1,2022-09-01 08:00:00,"BLAIRFOX","BLAIRFOX_KARAKIN_WF1",0.3,1.26,
"2022-09-01",1,2022-09-01 08:00:00,"BLAIRFOX","BLAIRFOX_WESTHILLS_WF3",0,0,
"2022-09-01",1,2022-09-01 08:00:00,"WPGENER","BREMER_BAY_WF1",0.09,0.136,
"2022-09-01",1,2022-09-01 08:00:00,"GRIFFINP","BW1_BLUEWATERS_G2",0,0,
"2022-09-01",1,2022-09-01 08:00:00,"GRIFFIN2","BW2_BLUEWATERS_G1",51.5,103,
"2022-09-01",1,2022-09-01 08:00:00,"WPGENER","COCKBURN_CCG1",127.376,257,
"2022-09-01",1,2022-09-01 08:00:00,"WPGENER","COLLIE_G1",69.065,124.75,
"2022-09-01",1,2022-09-01 08:00:00,"DCWL","DCWL_DENMARK_WF1",0.046,0.052,
"2022-09-01",1,2022-09-01 08:00:00,"EDWFMAN","EDWFMAN_WF1",39.19,74.18,
"2022-09-01",1,2022-09-01 08:00:00,"PERTHNRGY","GOSNELLS",0,0,
"2022-09-01",1,2022-09-01 08:00:00,"ALBGRAS","GRASMERE_WF1",0.277,0.33,
"2022-09-01",1,2022-09-01 08:00:00,"GRENOUGH","GREENOUGH_RIVER_PV1",12.442,27.2,
"2022-09-01",1,2022-09-01 08:00:00,"WGRES","HENDERSON_RENEWABLE_IG1",0.632,1.278,
"2022-09-01",1,2022-09-01 08:00:00,"COLLGAR","INVESTEC_COLLGAR_WF1",53.542,100.5,
"2022-09-01",1,2022-09-01 08:00:00,"LNDFLLGP","KALAMUNDA_SG",0,0,
"2022-09-01",1,2022-09-01 08:00:00,"WPGENER","KALBARRI_WF1",0.372,0.724,
"2022-09-01",1,2022-09-01 08:00:00,"WPGENER","KEMERTON_GT11",53.519,83.9,
"2022-09-01",1,2022-09-01 08:00:00,"WPGENER","KEMERTON_GT12",75.557,129,
"2022-09-01",1,2022-09-01 08:00:00,"WPGENER","KWINANA_GT2",48.721,97.4,
"2022-09-01",1,2022-09-01 08:00:00,"WPGENER","KWINANA_GT3",0,0,
"2022-09-01",1,2022-09-01 08:00:00,"SUNAUST22","MERSOLAR_PV1",44.558,92.25,
"2022-09-01",1,2022-09-01 08:00:00,"WPGENER","MUJA_G5",47.248,92.711,
"2022-09-01",1,2022-09-01 08:00:00,"WPGENER","MUJA_G6",42.629,83.775,
"2022-09-01",1,2022-09-01 08:00:00,"WPGENER","MUJA_G7",0,0,
"2022-09-01",1,2022-09-01 08:00:00,"WPGENER","MUJA_G8",0,0,
"2022-09-01",1,2022-09-01 08:00:00,"WPGENER","MUNGARRA_GT1",0,0,
"2022-09-01",1,2022-09-01 08:00:00,"WPGENER","MUNGARRA_GT3",0,0,
"2022-09-01",1,2022-09-01 08:00:00,"MUMBIDA","MWF_MUMBIDA_WF1",27.492,54.95,
"2022-09-01",1,2022-09-01 08:00:00,"MERREDIN","NAMKKN_MERR_SG1",0,0,
"2022-09-01",1,2022-09-01 08:00:00,"NEWGEN","NEWGEN_KWINANA_CCG1",112.489,217.92,
"2022-09-01",1,2022-09-01 08:00:00,"NGENEERP","NEWGEN_NEERABUP_GT1",0,0,
"2022-09-01",1,2022-09-01 08:00:00,"NSFPTNRS","NORTHAM_SF_PV1",1.531,3.633,
"2022-09-01",1,2022-09-01 08:00:00,"WENERGY","PERTHENERGY_KWINANA_GT1",0,0,
"2022-09-01",1,2022-09-01 08:00:00,"WPGENER","PINJAR_GT1",0,0,
"2022-09-01",1,2022-09-01 08:00:00,"WPGENER","PINJAR_GT10",0,0,
"2022-09-01",1,2022-09-01 08:00:00,"WPGENER","PINJAR_GT11",10.373,24.51,
"2022-09-01",1,2022-09-01 08:00:00,"WPGENER","PINJAR_GT2",0,0,
"2022-09-01",1,2022-09-01 08:00:00,"WPGENER","PINJAR_GT3",0,0,
"2022-09-01",1,2022-09-01 08:00:00,"WPGENER","PINJAR_GT4",0,0,
"2022-09-01",1,2022-09-01 08:00:00,"WPGENER","PINJAR_GT5",0,0,
"2022-09-01",1,2022-09-01 08:00:00,"WPGENER","PINJAR_GT7",5.872,11.32,
"2022-09-01",1,2022-09-01 08:00:00,"WPGENER","PINJAR_GT9",0,0,
"2022-09-01",1,2022-09-01 08:00:00,"GLDFLDPW","PRK_AG",0,0,
"2022-09-01",1,2022-09-01 08:00:00,"LNDFLLGP","RED_HILL",1.694,3.362,
"2022-09-01",1,2022-09-01 08:00:00,"PERTHNRGY","ROCKINGHAM",0.63,1.272,
"2022-09-01",1,2022-09-01 08:00:00,"MBARKER","SKYFRM_MTBARKER_WF1",0.052,0.095,
"2022-09-01",1,2022-09-01 08:00:00,"PERTHNRGY","SOUTH_CARDUP",0,0,
"2022-09-01",1,2022-09-01 08:00:00,"STHRNCRS","STHRNCRS_EG",3.492,6.557,
"2022-09-01",1,2022-09-01 08:00:00,"LNDFLLGP","TAMALA_PARK",1.761,3.633,
"2022-09-01",1,2022-09-01 08:00:00,"TSLA_GER","TESLA_GERALDTON_G1",0,0,
"2022-09-01",1,2022-09-01 08:00:00,"TSLA_KEM","TESLA_KEMERTON_G1",0,0,
"2022-09-01",1,2022-09-01 08:00:00,"TSLA_NOR","TESLA_NORTHAM_G1",0,0,
"2022-09-01",1,2022-09-01 08:00:00,"TSLA_MGT","TESLA_PICTON_G1",0,0,
"2022-09-01",1,2022-09-01 08:00:00,"TIWEST","TIWEST_COG1",9.933,13.502,
"2022-09-01",1,2022-09-01 08:00:00,"WARADGE","WARRADARGE_WF1",59.442,110.2,
"2022-09-01",1,2022-09-01 08:00:00,"WPGENER","WEST_KALGOORLIE_GT2",0,0,
"2022-09-01",1,2022-09-01 08:00:00,"WPGENER","WEST_KALGOORLIE_GT3",0,0,
"2022-09-01",1,2022-09-01 08:00:00,"ALINTA","YANDIN_WF1",75.511,133,
"2022-09-01",2,2022-09-01 08:30:00,"ALBGRAS","ALBANY_WF1",0.104,0.4,
"2022-09-01",2,2022-09-01 08:30:00,"ALCOA","ALCOA_WGP",0,0,
"2022-09-01",2,2022-09-01 08:30:00,"ALINTA","ALINTA_PNJ_U1",8.036,10.567,
"2022-09-01",2,2022-09-01 08:30:00,"ALINTA","ALINTA_PNJ_U2",10.108,11.4,
"2022-09-01",2,2022-09-01 08:30:00,"ALINTA","ALINTA_WGP_GT",0,0,
"2022-09-01",2,2022-09-01 08:30:00,"ALINTA","ALINTA_WGP_U2",0,0,
"2022-09-01",2,2022-09-01 08:30:00,"ALINTA","ALINTA_WWF",19.032,37.4,
"2022-09-01",2,2022-09-01 08:30:00,"MPOWER","AMBRISOLAR_PV1",0.309,0.665,
"2022-09-01",2,2022-09-01 08:30:00,"PERTHNRGY","ATLAS",0,0,
"2022-09-01",2,2022-09-01 08:30:00,"ALINTA","BADGINGARRA_WF1",64.995,129.99,
"2022-09-01",2,2022-09-01 08:30:00,"CTE","BIOGAS01",0.192,0.484,
"2022-09-01",2,2022-09-01 08:30:00,"BLAIRFOX","BLAIRFOX_BEROSRD_WF1",0.012,0.38,
"2022-09-01",2,2022-09-01 08:30:00,"BLAIRFOX","BLAIRFOX_KARAKIN_WF1",0.694,1.851,
"2022-09-01",2,2022-09-01 08:30:00,"BLAIRFOX","BLAIRFOX_WESTHILLS_WF3",0,0,
"2022-09-01",2,2022-09-01 08:30:00,"WPGENER","BREMER_BAY_WF1",0.081,0.223,
"2022-09-01",2,2022-09-01 08:30:00,"GRIFFINP","BW1_BLUEWATERS_G2",0,0,
"2022-09-01",2,2022-09-01 08:30:00,"GRIFFIN2","BW2_BLUEWATERS_G1",51.518,103,
"2022-09-01",2,2022-09-01 08:30:00,"WPGENER","COCKBURN_CCG1",125.249,215,
"2022-09-01",2,2022-09-01 08:30:00,"WPGENER","COLLIE_G1",59.886,117.426,
"2022-09-01",2,2022-09-01 08:30:00,"DCWL","DCWL_DENMARK_WF1",0.033,0.037,
"2022-09-01",2,2022-09-01 08:30:00,"EDWFMAN","EDWFMAN_WF1",38.111,75.29,
"2022-09-01",2,2022-09-01 08:30:00,"PERTHNRGY","GOSNELLS",0,0,
"2022-09-01",2,2022-09-01 08:30:00,"ALBGRAS","GRASMERE_WF1",0.142,0.54,
"2022-09-01",2,2022-09-01 08:30:00,"GRENOUGH","GREENOUGH_RIVER_PV1",14.115,29.6,
"2022-09-01",2,2022-09-01 08:30:00,"WGRES","HENDERSON_RENEWABLE_IG1",0.612,1.179,
"2022-09-01",2,2022-09-01 08:30:00,"COLLGAR","INVESTEC_COLLGAR_WF1",35.334,97.3,
"2022-09-01",2,2022-09-01 08:30:00,"LNDFLLGP","KALAMUNDA_SG",0,0,
"2022-09-01",2,2022-09-01 08:30:00,"WPGENER","KALBARRI_WF1",0.42,0.708,
"2022-09-01",2,2022-09-01 08:30:00,"WPGENER","KEMERTON_GT11",40.679,70.3,
"2022-09-01",2,2022-09-01 08:30:00,"WPGENER","KEMERTON_GT12",51.235,84.4,
"2022-09-01",2,2022-09-01 08:30:00,"WPGENER","KWINANA_GT2",46.354,77.8,
"2022-09-01",2,2022-09-01 08:30:00,"WPGENER","KWINANA_GT3",0,0,
"2022-09-01",2,2022-09-01 08:30:00,"SUNAUST22","MERSOLAR_PV1",47.505,97.69,
"2022-09-01",2,2022-09-01 08:30:00,"WPGENER","MUJA_G5",46.968,92.018,
"2022-09-01",2,2022-09-01 08:30:00,"WPGENER","MUJA_G6",42.665,82.948,
"2022-09-01",2,2022-09-01 08:30:00,"WPGENER","MUJA_G7",0,0,
"2022-09-01",2,2022-09-01 08:30:00,"WPGENER","MUJA_G8",0,0,
"2022-09-01",2,2022-09-01 08:30:00,"WPGENER","MUNGARRA_GT1",0,0,
"2022-09-01",2,2022-09-01 08:30:00,"WPGENER","MUNGARRA_GT3",0,0,
"2022-09-01",2,2022-09-01 08:30:00,"MUMBIDA","MWF_MUMBIDA_WF1",27.459,55.05,
"2022-09-01",2,2022-09-01 08:30:00,"MERREDIN","NAMKKN_MERR_SG1",0,0,
"2022-09-01",2,2022-09-01 08:30:00,"NEWGEN","NEWGEN_KWINANA_CCG1",100.735,194.88,
"2022-09-01",2,2022-09-01 08:30:00,"NGENEERP","NEWGEN_NEERABUP_GT1",0,0,
"2022-09-01",2,2022-09-01 08:30:00,"NSFPTNRS","NORTHAM_SF_PV1",2.088,4.75,
"2022-09-01",2,2022-09-01 08:30:00,"WENERGY","PERTHENERGY_KWINANA_GT1",0,0,
"2022-09-01",2,2022-09-01 08:30:00,"WPGENER","PINJAR_GT1",0,0,
"2022-09-01",2,2022-09-01 08:30:00,"WPGENER","PINJAR_GT10",0,0,
"2022-09-01",2,2022-09-01 08:30:00,"WPGENER","PINJAR_GT11",16.901,31.06,
"2022-09-01",2,2022-09-01 08:30:00,"WPGENER","PINJAR_GT2",0,0,
"2022-09-01",2,2022-09-01 08:30:00,"WPGENER","PINJAR_GT3",0,0,
"2022-09-01",2,2022-09-01 08:30:00,"WPGENER","PINJAR_GT4",0,0,
"2022-09-01",2,2022-09-01 08:30:00,"WPGENER","PINJAR_GT5",0,0,
"2022-09-01",2,2022-09-01 08:30:00,"WPGENER","PINJAR_GT7",5.792,11.34,
"2022-09-01",2,2022-09-01 08:30:00,"WPGENER","PINJAR_GT9",0,0,
"2022-09-01",2,2022-09-01 08:30:00,"GLDFLDPW","PRK_AG",0,0,
"2022-09-01",2,2022-09-01 08:30:00,"LNDFLLGP","RED_HILL",1.696,3.402,
"2022-09-01",2,2022-09-01 08:30:00,"PERTHNRGY","ROCKINGHAM",0.629,1.252,
"2022-09-01",2,2022-09-01 08:30:00,"MBARKER","SKYFRM_MTBARKER_WF1",0.064,0.19,
"2022-09-01",2,2022-09-01 08:30:00,"PERTHNRGY","SOUTH_CARDUP",0,0,
"2022-09-01",2,2022-09-01 08:30:00,"STHRNCRS","STHRNCRS_EG",0,0,
"2022-09-01",2,2022-09-01 08:30:00,"LNDFLLGP","TAMALA_PARK",1.827,3.658,
"2022-09-01",2,2022-09-01 08:30:00,"TSLA_GER","TESLA_GERALDTON_G1",0,0,
"2022-09-01",2,2022-09-01 08:30:00,"TSLA_KEM","TESLA_KEMERTON_G1",0,0,
"2022-09-01",2,2022-09-01 08:30:00,"TSLA_NOR","TESLA_NORTHAM_G1",0,0,
"2022-09-01",2,2022-09-01 08:30:00,"TSLA_MGT","TESLA_PICTON_G1",0,0,
"2022-09-01",2,2022-09-01 08:30:00,"TIWEST","TIWEST_COG1",6.906,13.587,
"2022-09-01",2,2022-09-01 08:30:00,"WARADGE","WARRADARGE_WF1",55.699,107.13,
"2022-09-01",2,2022-09-01 08:30:00,"WPGENER","WEST_KALGOORLIE_GT2",0,0,
"2022-09-01",2,2022-09-01 08:30:00,"WPGENER","WEST_KALGOORLIE_GT3",0,0,
"2022-09-01",2,2022-09-01 08:30:00,"ALINTA","YANDIN_WF1",60.606,113.2,
