"Mcp and Traded Volume for delivery day: 2/27/2024"

"","Average Price [Euro/MWh]","Quantity [MWh]"
"ROPEX_DAM_Base (1-24)","74.64","44048.7"
"ROPEX_DAM_Peak (9-20)","79.58","24028.3"
"ROPEX_DAM_Off_Peak (1-8) & (21-24)","69.69","20020.4"

"Trading Zone","Interval","Market Clearing Price (MCP) [Euro/MWh]","Traded Volume [MWh]","Traded Buy Volume [MWh]","Traded Sell Volume [MWh]"
"Romania","1","57.62","1475.2","786.1","1475.2"
"Romania","2","57.55","1437.3","763.2","1437.3"
"Romania","3","57.35","1379.0","758.4","1379.0"
"Romania","4","56.87","1310.5","814.2","1310.5"
"Romania","5","57.35","1295.4","958.0","1295.4"
"Romania","6","64.88","1343.5","1343.5","1178.9"
"Romania","7","80.87","2039.5","1787.3","2039.5"
"Romania","8","93.11","2170.9","2022.4","2170.9"
"Romania","9","95.28","2271.1","1968.0","2271.1"
"Romania","10","80.81","2034.3","1644.5","2034.3"
"Romania","11","68.71","1885.0","1409.6","1885.0"
"Romania","12","64.67","1868.8","1292.2","1868.8"
"Romania","13","59.00","1722.2","1277.6","1722.2"
"Romania","14","59.00","1690.7","1260.4","1690.7"
"Romania","15","64.12","1643.2","1277.1","1643.2"
"Romania","16","70.64","1786.7","1497.1","1786.7"
"Romania","17","77.09","1964.8","1964.8","1939.8"
"Romania","18","99.37","2444.7","2444.7","2272.2"
"Romania","19","111.07","2429.6","2429.6","2419.2"
"Romania","20","105.17","2287.2","2245.6","2287.2"
"Romania","21","89.85","2173.7","1900.7","2173.7"
"Romania","22","83.47","1994.9","1459.0","1994.9"
"Romania","23","72.42","1899.3","1160.3","1899.3"
"Romania","24","64.97","1501.2","956.5","1501.2"
